year,count
1983,4
1984,4
1985,34
1986,73
1987,107
1988,181
1989,242
1990,239
1991,298
1992,361
1993,423
1994,508
1995,699
1996,613
1997,696
1998,800
1999,924
2000,1144
2001,1488
2002,1669
2003,1625
2004,2325
2005,2997
2006,3237
2007,3785
2008,5131
2009,6192
